compound	target(s)
CUDC-907	HDAC,PI3K
CUDC-907	HDAC,PI3K
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
INCB28060	c-Met
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
OSI-906 (Linsitinib)	IGF1R
