cellLine,drug,experiment,center
MS01,AZD2014,Run1,UCF
MS01,Bortezomib,Run1,UCF
MS01,CUDC907,Run1,UCF
MS01,Everolimus,Run1,UCF
MS01,Ganetespib,Run1,UCF
MS01,GDC0941,Run1,UCF
MS01,GDC0980,Run1,UCF
MS01,GSK2126458,Run1,UCF
MS01,Lapatinib,Run1,UCF
MS01,LY2157299,Run1,UCF
MS01,OSU03012,Run1,UCF
MS01,Panobinostat,Run1,UCF
MS01,Perifosine,Run1,UCF
MS01,Selumetinib,Run1,UCF
MS01,Trametinib,Run1,UCF
MS01,Vismodegib,Run1,UCF
MS01,Vorinostat,Run1,UCF
MS02,AR42,Run1,UCF
MS02,Axitinib,Run1,UCF
MS02,AZD2014,Run1,UCF
MS02,Bortezomib,Run1,UCF
MS02,CUDC907,Run1,UCF
MS02,Everolimus,Run1,UCF
MS02,Ganetespib,Run1,UCF
MS02,GDC0941,Run1,UCF
MS02,GDC0980,Run1,UCF
MS02,GSK2126458,Run1,UCF
MS02,Lapatinib,Run1,UCF
MS02,LY2157299,Run1,UCF
MS02,OSU03012,Run1,UCF
MS02,Panobinostat,Run1,UCF
MS02,Perifosine,Run1,UCF
MS02,Selumetinib,Run1,UCF
MS02,Trametinib,Run1,UCF
MS02,Vismodegib,Run1,UCF
MS02,Vorinostat,Run1,UCF
MS03,AR42,Run1,UCF
MS03,Axitinib,Run1,UCF
MS03,AZD2014,Run1,UCF
MS03,Bortezomib,Run1,UCF
MS03,CUDC907,Run1,UCF
MS03,Everolimus,Run1,UCF
MS03,Ganetespib,Run1,UCF
MS03,GDC0941,Run1,UCF
MS03,GDC0980,Run1,UCF
MS03,GSK2126458,Run1,UCF
MS03,Lapatinib,Run1,UCF
MS03,LY2157299,Run1,UCF
MS03,OSU03012,Run1,UCF
MS03,Panobinostat,Run1,UCF
MS03,Perifosine,Run1,UCF
MS03,Selumetinib,Run1,UCF
MS03,Trametinib,Run1,UCF
MS03,Vismodegib,Run1,UCF
MS03,Vorinostat,Run1,UCF
MS12,AR42,Run1,UCF
MS12,Axitinib,Run1,UCF
MS12,AZD2014,Run1,UCF
MS12,Bortezomib,Run1,UCF
MS12,CUDC907,Run1,UCF
MS12,Everolimus,Run1,UCF
MS12,Ganetespib,Run1,UCF
MS12,GDC0941,Run1,UCF
MS12,GDC0980,Run1,UCF
MS12,GSK2126458,Run1,UCF
MS12,Lapatinib,Run1,UCF
MS12,LY2157299,Run1,UCF
MS12,OSU03012,Run1,UCF
MS12,Panobinostat,Run1,UCF
MS12,Perifosine,Run1,UCF
MS12,Selumetinib,Run1,UCF
MS12,Trametinib,Run1,UCF
MS12,Vismodegib,Run1,UCF
MS12,Vorinostat,Run1,UCF
MSC11,AR42,Run1,UCF
MSC11,Axitinib,Run1,UCF
MSC11,AZD2014,Run1,UCF
MSC11,Bortezomib,Run1,UCF
MSC11,CUDC907,Run1,UCF
MSC11,Everolimus,Run1,UCF
MSC11,Ganetespib,Run1,UCF
MSC11,GDC0941,Run1,UCF
MSC11,GDC0980,Run1,UCF
MSC11,GSK2126458,Run1,UCF
MSC11,Lapatinib,Run1,UCF
MSC11,LY2157299,Run1,UCF
MSC11,OSU03012,Run1,UCF
MSC11,Panobinostat,Run1,UCF
MSC11,Perifosine,Run1,UCF
MSC11,Selumetinib,Run1,UCF
MSC11,Trametinib,Run1,UCF
MSC11,Vismodegib,Run1,UCF
MSC11,Vorinostat,Run1,UCF
MS01,AR42,Run2,UCF
MS01,Axitinib,Run2,UCF
MS01,AZD2014,Run2,UCF
MS01,Bortezomib,Run2,UCF
MS01,CUDC907,Run2,UCF
MS01,Everolimus,Run2,UCF
MS01,Ganetespib,Run2,UCF
MS01,GDC0941,Run2,UCF
MS01,GDC0980,Run2,UCF
MS01,GSK2126458,Run2,UCF
MS01,Lapatinib,Run2,UCF
MS01,LY2157299,Run2,UCF
MS01,OSU03012,Run2,UCF
MS01,Panobinostat,Run2,UCF
MS01,Perifosine,Run2,UCF
MS01,Selumetinib,Run2,UCF
MS01,Trametinib,Run2,UCF
MS01,Vismodegib,Run2,UCF
MS01,Vorinostat,Run2,UCF
MS02,AR42,Run2,UCF
MS02,Axitinib,Run2,UCF
MS02,AZD2014,Run2,UCF
MS02,Bortezomib,Run2,UCF
MS02,CUDC907,Run2,UCF
MS02,Everolimus,Run2,UCF
MS02,Ganetespib,Run2,UCF
MS02,GDC0941,Run2,UCF
MS02,GDC0980,Run2,UCF
MS02,GSK2126458,Run2,UCF
MS02,Lapatinib,Run2,UCF
MS02,LY2157299,Run2,UCF
MS02,OSU03012,Run2,UCF
MS02,Panobinostat,Run2,UCF
MS02,Perifosine,Run2,UCF
MS02,Selumetinib,Run2,UCF
MS02,Trametinib,Run2,UCF
MS02,Vismodegib,Run2,UCF
MS02,Vorinostat,Run2,UCF
MSC11,AR42,Run2,UCF
MSC11,Axitinib,Run2,UCF
MSC11,AZD2014,Run2,UCF
MSC11,Bortezomib,Run2,UCF
MSC11,CUDC907,Run2,UCF
MSC11,Everolimus,Run2,UCF
MSC11,Ganetespib,Run2,UCF
MSC11,GDC0941,Run2,UCF
MSC11,GDC0980,Run2,UCF
MSC11,GSK2126458,Run2,UCF
MSC11,Lapatinib,Run2,UCF
MSC11,LY2157299,Run2,UCF
MSC11,OSU03012,Run2,UCF
MSC11,Panobinostat,Run2,UCF
MSC11,Perifosine,Run2,UCF
MSC11,Selumetinib,Run2,UCF
MSC11,Trametinib,Run2,UCF
MSC11,Vismodegib,Run2,UCF
MSC11,Vorinostat,Run2,UCF
