compound	target(s)	cell type
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2 -/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		NF2-/-
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-5		wt
BMS-599626	HER1/2	NF2-/-
BMS-599626	HER1/2	NF2-/-
BMS-599626	HER1/2	NF2-/-
BMS-599626	HER1/2	NF2-/-
BMS-599626	HER1/2	NF2-/-
BMS-599626	HER1/2	NF2-/-
BMS-599626	HER1/2	NF2-/-
BMS-599626	HER1/2	NF2-/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
BNTX maleate salt hydrate	DOR1	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
Cantharidin	PPP2A	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CGP-74514A hydrochloride	CDK1	NF2 -/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	NF2-/-
CH5132799	PI3K	wt
CH5132799	PI3K	wt
CH5132799	PI3K	wt
CH5132799	PI3K	wt
CH5132799	PI3K	wt
CH5132799	PI3K	wt
CH5132799	PI3K	wt
CH5132799	PI3K	wt
CH5424802	ALK	NF2-/-
CH5424802	ALK	NF2-/-
CH5424802	ALK	NF2-/-
CH5424802	ALK	NF2-/-
CH5424802	ALK	NF2-/-
CH5424802	ALK	NF2-/-
CH5424802	ALK	NF2-/-
CH5424802	ALK	NF2-/-
CI-1033	EGFR	NF2-/-
CI-1033	EGFR	NF2-/-
CI-1033	EGFR	NF2-/-
CI-1033	EGFR	NF2-/-
CI-1033	EGFR	NF2-/-
CI-1033	EGFR	NF2-/-
CI-1033	EGFR	NF2-/-
CI-1033	EGFR	NF2-/-
CI994		NF2-/-
CI994		NF2-/-
CI994		NF2-/-
CI994		NF2-/-
CI994		NF2-/-
CI994		NF2-/-
CI994		NF2-/-
CI994		NF2-/-
CP-724714	ERBB2	NF2-/-
CP-724714	ERBB2	NF2-/-
CP-724714	ERBB2	NF2-/-
CP-724714	ERBB2	NF2-/-
CP-724714	ERBB2	NF2-/-
CP-724714	ERBB2	NF2-/-
CP-724714	ERBB2	NF2-/-
CP-724714	ERBB2	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	NF2-/-
Crenolanib (CP-868596)	PDGFRa/b	wt
Crenolanib (CP-868596)	PDGFRa/b	wt
Crenolanib (CP-868596)	PDGFRa/b	wt
Crenolanib (CP-868596)	PDGFRa/b	wt
Crenolanib (CP-868596)	PDGFRa/b	wt
Crenolanib (CP-868596)	PDGFRa/b	wt
Crenolanib (CP-868596)	PDGFRa/b	wt
Crenolanib (CP-868596)	PDGFRa/b	wt
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2 -/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	NF2-/-
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
Crizotinib	c-Met, Alk	wt
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	NF2-/-
CUDC-101	HDAC, EGFR, HER2	wt
CUDC-101	HDAC, EGFR, HER2	wt
CUDC-101	HDAC, EGFR, HER2	wt
CUDC-101	HDAC, EGFR, HER2	wt
CUDC-101	HDAC, EGFR, HER2	wt
CUDC-101	HDAC, EGFR, HER2	wt
CUDC-101	HDAC, EGFR, HER2	wt
CUDC-101	HDAC, EGFR, HER2	wt
Dacomitinib	EGFR	NF2-/-
Dacomitinib	EGFR	NF2-/-
Dacomitinib	EGFR	NF2-/-
Dacomitinib	EGFR	NF2-/-
Dacomitinib	EGFR	NF2-/-
Dacomitinib	EGFR	NF2-/-
Dacomitinib	EGFR	NF2-/-
Dacomitinib	EGFR	NF2-/-
DMSO		NF2 -/-
DMSO		NF2 -/-
DMSO		NF2-/-
DMSO		NF2-/-
DMSO		wt
DMSO		wt
DMSO		wt
DMSO		wt
DMSO 0.5%		NF2-/-
DMSO 0.5%		NF2-/-
DMSO 0.5%		NF2-/-
DMSO 0.5%		wt
DMSO 1%		NF2-/-
DMSO 1%		NF2-/-
DMSO 1%		wt
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2 -/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	NF2-/-
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Ebastine	HRH1	wt
Enzastaurin	PKC	NF2-/-
Enzastaurin	PKC	NF2-/-
Enzastaurin	PKC	NF2-/-
Enzastaurin	PKC	NF2-/-
Enzastaurin	PKC	NF2-/-
Enzastaurin	PKC	NF2-/-
Enzastaurin	PKC	NF2-/-
Enzastaurin	PKC	NF2-/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
Erlotinib	EGFR	NF2 -/-
EX527	SIRT1	NF2-/-
EX527	SIRT1	NF2-/-
EX527	SIRT1	NF2-/-
EX527	SIRT1	NF2-/-
EX527	SIRT1	NF2-/-
EX527	SIRT1	NF2-/-
EX527	SIRT1	NF2-/-
EX527	SIRT1	NF2-/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Fostriecin sodium salt	Phosphatases	NF2 -/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	NF2-/-
Ganetespib	HSP90	wt
Ganetespib	HSP90	wt
Ganetespib	HSP90	wt
Ganetespib	HSP90	wt
Ganetespib	HSP90	wt
Ganetespib	HSP90	wt
Ganetespib	HSP90	wt
Ganetespib	HSP90	wt
GDC-0068	PI3K	NF2-/-
GDC-0068	PI3K	NF2-/-
GDC-0068	PI3K	NF2-/-
GDC-0068	PI3K	NF2-/-
GDC-0068	PI3K	NF2-/-
GDC-0068	PI3K	NF2-/-
GDC-0068	PI3K	NF2-/-
GDC-0068	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0349	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	NF2-/-
GDC-0941	PI3K	wt
GDC-0941	PI3K	wt
GDC-0941	PI3K	wt
GDC-0941	PI3K	wt
GDC-0941	PI3K	wt
GDC-0941	PI3K	wt
GDC-0941	PI3K	wt
GDC-0941	PI3K	wt
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GDC0941	PI3Ka/d	NF2 -/-
GSK1904529A	IGF1R	NF2-/-
GSK1904529A	IGF1R	NF2-/-
GSK1904529A	IGF1R	NF2-/-
GSK1904529A	IGF1R	NF2-/-
GSK1904529A	IGF1R	NF2-/-
GSK1904529A	IGF1R	NF2-/-
GSK1904529A	IGF1R	NF2-/-
GSK1904529A	IGF1R	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
